公司,年月,TCRI,總分,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收,TSE產業別,c_0,c_1,c_2,c_3,c_4
2475 華映,2008/12/31,0.0,471.0,164.0,0,2.89,-6.31,-7.83,4.81,7.0,-6.0,86.0,1185.0,26,0.0,0.0,0.0,0.0,0.0
2484 希華,2008/12/31,6.0,387.0,3.75,0,1.68,2.38,4.52,4.4,-4.0,-17.0,33.0,23.0,28,16.000442504882812,4.35916444985196e-06,1.4628320932388306,1.5039290646168268e-10,0.5367221832275391
2485 兆赫,2008/12/31,3.0,844.0,17.74,0,0.08,18.89,18.62,3.64,15.0,10.0,4.0,97.0,27,0.0,0.0,0.0,0.0,0.0
2486 一詮,2008/12/31,5.0,631.0,10.36,0,1.1,9.32,10.86,4.03,-5.0,-1.0,43.0,48.0,26,0.0,0.0,0.0,0.0,0.0
2491 吉祥全,2008/12/31,0.0,113.0,0.83,0,9.53,-8.23,-43.42,4.63,21.0,-2.0,64.0,13.0,26,0.0,0.0,0.0,0.0,0.0
2498 宏達電,2008/12/31,2.0,1013.0,372.09,0,0.01,28.07,20.74,7.51,-1.0,-3.0,0.0,1524.0,27,133.02998352050778,5.025747299194336,101.0881805419922,5.967389106750487,19.88868904113769
2504 國產,2008/12/31,4.0,569.0,5.87,0,1.17,1.45,3.02,3.23,-6.0,-4.0,60.0,216.0,14,0.0,0.0,0.0,0.0,0.0
2506 太設,2008/12/31,0.0,249.0,2.58,0,4.94,1.74,1.73,4.67,-2.0,-86.0,174.0,81.0,14,0.0,0.0,0.0,0.0,0.0
2509 全坤建,2008/12/31,5.0,541.0,9.87,0,1.93,7.68,19.18,3.32,-6.0,-116.0,53.0,24.0,14,0.0,0.0,0.0,0.0,0.0
2511 太子,2008/12/31,8.0,126.0,11.98,0,5.49,0.47,0.65,3.06,-56.0,-54.0,257.0,145.0,14,46.38372802734375,1.0064597129821775,5.708806991577148,2.8831598797296465e-07,6.901004314422607
2515 中工,2008/12/31,6.0,456.0,35.97,0,0.45,0.87,-0.7,0.98,-19.0,-102.0,36.0,148.0,14,0.0,0.0,0.0,0.0,0.0
2527 宏璟,2008/12/31,7.0,170.0,0.93,0,9.06,4.92,-1.64,3.35,-2.0,884.0,61.0,9.0,14,1.0263211727142334,2.9788190659019165e-05,0.38800981640815735,3.0137559657063273e-13,2.585639238357544
2528 皇普,2008/12/31,0.0,-654.0,2.95,0,16.75,0.01,4.8,4.46,-356.0,-8889.0,443.0,4.0,14,1.0,6.650191711302437e-30,1.0040540579958274e-18,8.109260438526132e-29,2.7490616790404096e-25
2534 宏盛,2008/12/31,6.0,126.0,-9.48,1,15.98,1.7,30.78,2.5,0.0,6743.0,86.0,11.0,14,7.327174186706543,8.212776236860009e-08,0.6685385704040527,1.655404058189397e-13,1.0042874813079834
2536 宏普,2008/12/31,4.0,621.0,-2.31,1,2.3,10.28,28.96,2.86,-33.0,-322.0,73.0,71.0,14,29.31718826293945,9.510840186521818e-07,1.9975048303604128,2.8997812484554686e-10,5.6853065490722665
2540 愛山林,2008/12/31,0.0,-275.0,3.3,0,4.43,-8.85,-15.39,3.06,-69.0,-8889.0,338.0,3.0,14,0.0,0.0,0.0,0.0,0.0
2547 日勝生,2008/12/31,8.0,152.0,-25.55,1,11.23,1.45,12.23,3.97,54.0,1243.0,99.0,25.0,14,0.0,0.0,0.0,0.0,0.0
2606 裕民,2008/12/31,4.0,998.0,128.57,0,1.33,29.86,60.87,2.92,2.0,0.0,44.0,181.0,15,120.38247680664062,0.0006547275115735829,1.9996955394744875,7.305742144581018e-08,11.617178916931152
2610 華航,2008/12/31,7.0,-178.0,-16.65,0,3.36,-2.77,-7.74,3.36,-3.0,0.0,389.0,1313.0,15,0.0,0.0,0.0,0.0,0.0
2611 志信,2008/12/31,9.0,257.0,2.93,0,7.21,4.07,14.12,4.28,14.0,-30.0,105.0,16.0,15,0.0,0.0,0.0,0.0,0.0
2612 中航,2008/12/31,5.0,789.0,41.1,0,3.47,29.37,52.85,3.13,-4.0,0.0,91.0,64.0,15,0.0,0.0,0.0,0.0,0.0
2613 中櫃,2008/12/31,7.0,541.0,3.01,0,0.24,5.21,11.4,2.28,-5.0,0.0,12.0,17.0,15,0.0,0.0,0.0,0.0,0.0
2616 山隆,2008/12/31,5.0,508.0,2.75,0,0.13,3.7,1.07,3.08,-5.0,-1.0,32.0,124.0,23,0.0,0.0,0.0,0.0,0.0
2633 台灣高鐵,2008/12/31,0.0,-707.0,-36.77,0,75.9,-2.85,-27.07,4.65,1.0,0.0,1293.0,230.0,15,0.0,0.0,0.0,0.0,0.0
2636 台驊投控,2008/12/31,6.0,567.0,1.61,0,0.02,10.37,1.68,3.96,0.0,0.0,1.0,54.0,15,0.0,0.0,0.0,0.0,0.0
2705 六福,2008/12/31,8.0,225.0,1.16,0,2.88,-3.3,-11.82,2.79,-1.0,0.0,58.0,22.0,16,0.0,0.0,0.0,0.0,0.0
2841 台開,2008/12/31,9.0,-246.0,9.04,0,14.96,1.59,3.12,1.0,-16.0,-8994.0,256.0,6.0,14,0.0,0.0,0.0,0.0,0.0
2905 三商,2008/12/31,5.0,686.0,173.14,0,0.0,0.28,-0.5,0.0,-3.0,-16.0,70.0,555.0,18,0.0,0.0,0.0,0.0,0.0
2915 潤泰全,2008/12/31,6.0,511.0,4.87,0,2.36,5.95,-1.07,2.93,-2.0,-7.0,61.0,83.0,18,0.0,0.0,0.0,0.0,0.0
