公司,年月,TCRI,總分,規模,獲利,安全,效率,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收
2412 中華電,2010/12/31,1,935,140,87,100,94,847.37,,0.05,10.88,28.35,2.83,3,-1,1,2024
2450 神腦,2010/12/31,4,835,91,88,100,89,13.51,,0,16.66,6.64,0,,,0,195
9933 中鼎,2010/12/31,3,769,140,46,94,69,84.52,,0.23,4.71,4.65,1.78,-2,-5,45,519
5388 中磊,2010/12/31,5,519,66,41,71,54,-0.21,,0.44,4.78,4.54,1.91,0,4,91,86
1513 中興電,2010/12/31,5,561,81,36,96,2,5.83,,0.2,4.34,5.95,1.07,-7,-15,21,103
1723 中碳,2010/12/31,3,875,61,120,100,94,19.99,,0.02,29.63,25.83,1.79,-2,-4,4,84
2323 中環,2010/12/31,6,483,140,-21,70,56,40.72,,2.08,-7.56,-14.57,2.88,0,-18,48,244
2390 云辰,2010/12/31,7,239,17,-13,95,-40,-1.53,,0.68,-4.52,-8.63,2.3,-11,79,19,12
3494 誠研,2010/12/31,6,467,13,48,97,8,0.68,,0.26,5.44,10.06,1.82,-2,-19,19,19
1733 五鼎,2010/12/31,4,697,13,120,100,12,4.66,,0.01,24.31,34.05,0,5,-21,0,18
2324 仁寶,2010/12/31,2,766,140,44,92,76,227.54,+,0.04,5.78,2.78,1.04,5,-5,32,8870
6209 今國光,2010/12/31,5,580,45,45,98,62,5.18,,0.18,6.04,6.61,1.39,-17,-7,15,53
2034 允強,2010/12/31,4,607,103,32,84,54,-9.4,+,0.13,5.41,2.36,1.02,-8,-17,58,218
4938 和碩,2010/12/31,4,736,140,27,95,88,227.32,,0.04,4.54,1.73,0.95,-3,1,23,5305
2705 六福,2010/12/31,7,313,42,18,57,-40,2.04,,2.18,1.93,5.8,2.47,-1,60,60,27
2444 兆勁,2010/12/31,7,250,16,-16,73,48,-0.7,,0.58,-5.62,-6.4,2.16,-9,-2,63,23
6142 友勁,2010/12/31,6,483,86,17,64,69,4.07,,0.36,2.66,1.93,1.42,-25,-8,112,138
2332 友訊,2010/12/31,4,729,140,34,99,51,10.92,,0.12,4.78,4.02,2.03,-8,-23,13,339
2409 友達,2010/12/31,4,596,140,4,75,79,907.36,,1.1,0.86,2.65,2.82,6,3,65,4672
1233 天仁,2010/12/31,4,564,13,69,100,33,2.61,,0,10.52,10.62,5.29,-2,-6,0,19
6225 天瀚,2010/12/31,9,33,9,-54,62,-10,-2.14,,1.31,-16.22,-25.39,2.71,24,6,74,13
4934 太極,2010/12/31,6,673,47,83,85,77,6.91,,1.14,9.86,14.32,2.69,2,-56,51,46
3036 文曄,2010/12/31,4,731,140,54,77,60,1.73,+,0.1,7.73,2.72,1.3,-12,-11,69,637
2451 創見,2010/12/31,4,806,135,50,100,85,31.78,,0.03,7.81,7.01,2.15,5,-16,2,322
2547 日勝生,2010/12/31,6,758,120,108,41,73,-13.85,+,2.59,11.8,27.77,3,-25,-575,98,140
3090 日電貿,2010/12/31,5,582,24,68,100,31,1.57,,0.03,10.1,9.15,1.9,-35,1,0,33
1227 佳格,2010/12/31,4,887,95,116,100,51,20.31,+,0.13,21.6,14.92,3.48,1,-7,7,180
1732 毛寶,2010/12/31,5,400,4,20,100,31,0.28,,0,3.63,3.29,0,-8,-1,0,7
2727 王品,2010/12/31,4,710,37,120,88,-40,8.01,,0,24.01,13.33,0,0,11,0,58
2383 台光電,2010/12/31,5,721,86,82,87,41,15.91,,0.43,11.67,8.6,1.94,-15,1,57,135
8039 台虹,2010/12/31,5,731,60,90,100,40,9.94,,0.4,12.16,15.71,1.58,-35,-35,47,69
6269 台郡,2010/12/31,5,716,36,104,99,35,5.78,,0.16,15.85,14.71,2.07,-18,-2,21,46
8011 台通,2010/12/31,5,689,11,105,100,53,3.13,,0.26,16.07,16.48,2.18,7,-13,17,18
2314 台揚,2010/12/31,5,441,65,-4,94,42,-5.3,,0.25,-1.67,-1.56,1.27,-30,-4,39,81
1724 台硝,2010/12/31,5,456,15,24,98,61,1.66,,0.12,1.74,9.67,1.18,-16,-34,13,20
6505 台塑化,2010/12/31,2,791,140,61,81,84,564.02,,0.4,9.66,5.56,1.73,4,1,72,7489
3532 台勝科,2010/12/31,5,572,94,8,100,61,26.34,,0.28,1.84,3.41,1.35,2,-19,10,96
1309 台達化,2010/12/31,6,660,92,42,89,83,7.29,,0.29,6.06,2.96,1.31,-6,-7,79,185
2308 台達電,2010/12/31,1,899,140,84,100,68,220.07,,0.13,12.3,10.74,1.03,-11,-2,22,1713
1220 台榮,2010/12/31,6,458,25,22,97,51,-2.34,,0.24,4.21,2.54,1.42,-7,-2,28,33
4746 台耀,2010/12/31,6,572,18,82,85,35,1,,0.15,12.25,12.33,1.11,,,44,25
2636 台驊投控,2010/12/31,6,539,35,55,86,29,1.63,,0.01,8.58,3.44,0.41,8,-1,57,60
1215 卜蜂,2010/12/31,4,587,83,34,79,80,-1.76,+,0.13,6.01,2.26,1.86,-1,6,44,164
1614 三洋電,2010/12/31,4,580,60,33,100,62,2.62,,0.02,4.81,5.29,1.85,-1,0,6,71
2841 台開,2010/12/31,9,-95,5,2,-23,-40,8.41,,11.76,1.53,-28.27,0.64,-442,0,148,4
3045 台灣大,2010/12/31,1,975,140,119,82,93,259.94,,0.47,18.03,26.13,2.68,-1,3,28,701
1326 台化,2010/12/31,2,892,140,77,100,80,683.82,,0.56,11.54,10.93,1.65,3,-14,37,3837
1101 台泥,2010/12/31,3,774,140,67,71,81,153.82,,2.33,6.51,14.75,2.49,6,-5,89,1062
2338 光罩,2010/12/31,4,557,33,47,100,52,9.11,,0.4,4.51,13.01,1.53,-6,2,13,26
2642 宅配通,2010/12/31,-,640,14,89,100,36,1.45,,0.01,12.24,11.55,5.51,,,0,24
2330 台積電,2010/12/31,1,1020,140,120,100,80,2292.78,,0.1,24.75,38.2,1.17,1,3,8,4195
5608 四維航,2010/12/31,6,477,60,74,30,50,14.85,,3.31,5.46,37.47,1.16,0,0,161,42
9921 巨大,2010/12/31,3,798,140,76,84,40,12.13,+,0.3,9.88,9.5,1.71,-10,-12,60,442
1539 巨庭,2010/12/31,7,201,9,-6,62,16,0.3,,0.78,-3.26,2.12,1.83,-39,-58,87,13
6192 巨路,2010/12/31,4,678,47,82,100,39,4.28,,0.07,12.01,10.54,1.44,8,-6,10,63
1475 本盟,2010/12/31,9,-389,9,-48,-107,59,0,,2.99,-5.74,-6.69,3.89,-60,-29,340,12
4906 正文,2010/12/31,5,520,115,4,76,49,-4.74,+,0.41,1.64,0.88,2.14,-4,5,67,216
1538 正峰新,2010/12/31,7,300,14,-3,67,80,0.93,,1.48,0.93,-6.4,2.35,-101,-24,53,12
2392 正崴,2010/12/31,4,636,140,25,76,51,6.52,+,0.38,3.57,2.99,1.72,-4,-9,73,570
1904 正隆,2010/12/31,4,661,140,43,68,48,27.31,,1.38,5.11,6.69,3.18,-9,-12,79,387
2105 正新,2010/12/31,3,809,140,86,66,75,142.34,,0.73,11.1,11.83,1.78,-2,-11,98,1000
1506 正道,2010/12/31,8,176,15,-8,64,-21,-0.27,,2.65,-2.39,-1.45,5.01,-8,-56,47,15
3149 正達,2010/12/31,5,608,34,98,94,-35,-0.27,+,0.56,11.26,20.67,1.11,7,10,51,28
1507 永大,2010/12/31,4,702,96,67,100,10,17.45,,0.04,7.92,12.27,2.09,-10,-17,2,134
1726 永記,2010/12/31,3,611,60,58,100,17,2.15,+,0.05,7.66,10.7,2.01,1,-19,2,72
1323 永裕,2010/12/31,6,543,21,73,77,53,3.3,,1.01,8.84,11.01,2.53,-6,-4,83,26
1907 永豐餘,2010/12/31,4,598,140,17,67,66,13.3,,1.07,2.89,2.27,2.02,-11,-17,90,514
3406 玉晶光,2010/12/31,5,548,47,72,74,14,5.05,,1.06,7.88,15.29,3.32,-38,-39,58,46
3026 禾伸堂,2010/12/31,4,652,96,39,100,43,0.08,+,0.16,5.1,6.57,0.95,-4,1,24,149
2472 立隆電,2010/12/31,6,507,47,38,88,36,3.55,,0.43,4.28,7.18,1.56,-20,-21,55,54
3054 立萬利,2010/12/31,6,386,6,-6,100,91,0.78,,0.02,-2.81,-3.26,1.06,2,5,0,10
3058 立德,2010/12/31,6,539,57,39,82,63,2.6,,0.07,5.5,2.74,1.12,-10,-3,49,88
2439 美律,2010/12/31,4,659,61,63,100,50,3.11,,0.18,8.09,10.07,1.6,-10,1,15,81
2419 仲琦,2010/12/31,6,568,51,54,86,45,-1.61,+,0.26,7.33,5.81,2.13,-22,-10,54,70
2485 兆赫,2010/12/31,3,753,70,85,100,60,12.01,,0.07,11.35,16.61,2.57,-11,4,4,93
6285 啟碁,2010/12/31,3,793,125,72,88,64,15.45,,0.2,10.06,7.73,1.66,-18,-19,40,273
2461 光群雷,2010/12/31,6,428,32,19,95,20,2.87,,0.72,3.26,3.6,2.7,-9,-7,27,33
2340 光磊,2010/12/31,5,613,74,51,95,30,15.05,,0.71,6.07,8.32,1.77,-15,-31,40,80
2301 光寶科,2010/12/31,3,774,140,50,92,69,141.61,,0.21,6.28,6.07,2.1,-7,-2,27,2300
2509 全坤建,2010/12/31,5,523,31,74,67,41,5.34,,2.04,5.8,20.84,1.94,-2,-142,64,20
6281 全國電,2010/12/31,4,691,59,63,100,84,4.48,,0,10.36,4.08,0,0,-2,0,120
3015 全漢,2010/12/31,4,725,99,57,100,56,9.83,,0.02,7.46,6.49,4.93,-13,-4,1,190
1618 合機,2010/12/31,6,449,48,3,97,55,3.04,,0.15,1.86,1.51,2.16,1,-13,1,37
6271 同欣電,2010/12/31,4,763,54,95,100,71,9.01,,0.08,13.59,18.45,1.69,-14,-5,6,61
1442 名軒,2010/12/31,6,303,22,86,13,-40,-17.95,+,3.11,7.86,29.58,1.81,2,926,145,15
9943 好樂迪,2010/12/31,5,634,30,73,100,48,6.02,,0.13,9.36,14.3,0.93,-1,0,20,35
4414 如興,2010/12/31,D,-449,19,3,-152,-39,0.37,,1.7,1.58,1.78,2.39,-15,-24,437,26
8271 宇瞻,2010/12/31,6,658,58,50,100,94,8.74,,0.03,9.29,2.4,1.57,-1,5,0,133
3528 安馳,2010/12/31,6,571,23,85,74,50,-2.16,+,0.3,13.36,6.15,2.18,-9,-8,73,37
8021 尖點,2010/12/31,5,532,30,70,89,-3,5.48,,2.59,5.77,20.7,3.12,-20,-59,51,21
6196 帆宣,2010/12/31,5,476,78,2,97,24,8.7,,0.14,1.01,1.3,2.47,-74,-70,12,114
1451 年興,2010/12/31,4,674,91,47,100,50,19.77,,0.17,8.6,4.54,1.72,0,-15,7,129
9934 成霖,2010/12/31,4,614,111,31,84,46,8.02,,0.57,3.94,3.96,2.73,-2,-10,63,214
4119 旭富,2010/12/31,5,557,8,94,86,4,2.19,,0.05,12.45,21.3,0.35,-11,5,15,10
1525 江申,2010/12/31,6,571,12,62,100,61,2.27,,0,12.2,4.77,0,0,-20,0,12
6152 百一,2010/12/31,5,624,69,55,91,48,-4.5,+,0.08,6.9,5.94,1.47,6,-11,33,119
3591 艾笛森,2010/12/31,5,681,30,99,100,24,3.16,,0.02,13.62,21.67,1.85,2,-1,0,30
1558 伸興,2010/12/31,4,793,30,120,100,73,7.36,,0.01,22.15,17.51,0.91,-15,1,8,45
5305 敦南,2010/12/31,5,582,83,34,81,72,14.55,,0.66,4.38,4.62,1.54,-23,-7,56,104
3052 夆典,2010/12/31,6,472,36,45,64,74,13.99,,1.81,3.01,10.78,1.86,5,68,71,26
6277 宏正,2010/12/31,4,666,36,95,89,41,7.26,,0.3,13.85,15.71,2.52,-12,-20,20,42
1236 宏亞,2010/12/31,5,493,16,53,85,50,1.89,,0.1,6.62,8.38,0.95,-14,3,23,21
3605 宏致,2010/12/31,5,718,44,94,100,47,9.02,,0.23,10.95,21.38,1.46,1,6,36,44
1612 宏泰,2010/12/31,4,552,50,29,100,64,4.94,,0.02,4.86,4.34,1.26,3,-6,1,59
1452 宏益,2010/12/31,5,547,16,44,100,83,1.43,,0.01,6.69,6.93,0,-4,-5,0,22
2534 宏盛,2010/12/31,6,364,40,67,41,-40,-18.18,+,3.19,4.88,38.36,0.91,0,436,82,25
2536 宏普,2010/12/31,4,473,56,76,58,-40,-13.71,+,0.46,7.08,25.84,0.6,13,205,52,37
2498 宏達電,2010/12/31,2,996,140,120,99,60,464.8,,0,25.25,16.8,5.96,-13,4,0,2788
6168 宏齊,2010/12/31,5,522,42,45,100,3,2.6,,0.4,4.15,12.53,1.79,-13,-43,21,37
2527 宏璟,2010/12/31,7,31,6,6,14,-40,-12.51,+,9.87,2.78,-6.97,1.62,5,8232,72,5
2484 希華,2010/12/31,6,396,28,13,93,22,2.47,,1.21,1.41,5.74,3.61,-27,-20,28,26
2358 廷鑫,2010/12/31,7,415,5,18,100,52,-0.29,,0.01,1.77,7.55,1.94,24,0,1,9
2376 技嘉,2010/12/31,4,754,140,34,100,73,6.6,+,0.01,6.05,2.33,2.09,0,-6,1,558
2025 千興,2009/12/31,7,366,34,-5,78,80,3.06,,0.46,-2.98,0.34,2.31,-2,23,30,45
1453 大將,2009/12/31,7,188,3,7,67,-40,1.37,,1.64,2.34,0.92,2.56,10,56,56,4
3701 大眾控,2009/12/31,9,211,114,-39,14,59,-0.16,,1.39,-6.38,-10.97,3.13,23,15,176,195
1611 中電,2009/12/31,5,560,46,37,100,56,6.29,,0.03,4.67,7.79,7,3,-1,0,42
9917 中保,2009/12/31,2,791,86,81,95,89,25.73,,0.28,9.92,16.43,2.23,1,-3,17,112
2474 可成,2009/12/31,4,773,127,76,94,10,77.28,,1.11,7.02,22.22,1.47,3,1,57,170
2103 台橡,2009/12/31,4,856,124,90,92,64,29.64,+,0.83,13.11,13.96,3.57,11,28,36,221
1301 台塑,2009/12/31,2,845,140,58,100,91,361.42,,0.99,9.18,6.51,2.22,0,0,34,1801
2611 志信,2009/12/31,9,260,27,21,48,-40,4.67,,4.5,2.02,8.82,3.12,27,-174,93,17
1201 味全,2009/12/31,4,652,109,42,77,79,17.94,,0.28,5.06,4.3,1.83,3,-4,60,211
2020 美亞,2009/12/31,7,337,65,-4,67,21,11.39,,1.93,0.48,-5.85,2.97,-5,30,83,69
2504 國產,2009/12/31,4,580,131,5,87,44,34.66,,1.23,1.46,2.58,2.39,14,5,43,194
9919 康那香,2009/12/31,5,556,50,52,83,51,6.88,,0.97,6.25,8.08,1.96,8,8,70,50
3027 盛達,2009/12/31,5,411,14,13,100,43,1.82,,0.1,2.95,2.22,1.9,0,23,7,17
1216 統一,2009/12/31,3,693,140,47,61,90,275.42,,1.48,5.61,5.27,3.81,1,1,102,2902
3041 揚智,2009/12/31,4,797,49,103,100,90,17.19,,0.01,15.52,24.64,0,-17,-36,0,47
1707 葡萄王,2009/12/31,5,723,24,107,100,54,7.21,,0.15,15.71,19.37,1.75,-6,66,12,28
2062 橋椿,2009/12/31,4,618,40,58,100,65,15.35,,0.08,8.37,9.49,1.88,18,-1,0,46
4141 龍燈-KY,2009/12/31,-,489,35,99,47,-20,2.59,,2.79,12.44,13.31,5.96,,,116,40
1310 台苯,2009/12/31,5,646,96,47,78,79,14.64,,0.46,6.65,4.75,2.61,2,5,46,174
1902 台紙,2009/12/31,6,431,62,-2,92,37,8.95,,0.83,-0.36,-1.83,1.87,-1,-3,37,56
4956 光鋐,2009/12/31,7,322,5,31,86,-40,0.22,,1.44,3.78,5.88,1.82,41,16,48,5
2337 旺宏,2009/12/31,4,917,140,91,100,65,104.35,,0.1,12.01,20.56,2.85,1,-25,2,268
2028 威致,2009/12/31,9,288,52,22,14,77,-0.67,,1.63,3.43,-2.89,2.88,8,33,159,57
2448 晶電,2009/12/31,4,725,117,61,100,8,40.71,,0.75,4.88,19.89,2.26,-14,-29,17,128
1529 樂士,2009/12/31,9,6,4,-28,40,-40,-0.01,,7.52,-10.4,-27.96,9.39,-73,276,37,4
2633 台灣高鐵,2009/12/31,D,-589,138,28,-310,48,41.43,+,46.23,0.8,23.86,2.84,0,0,1524,233
1413 宏洲,2009/12/31,7,266,25,-20,69,70,0.2,,0.6,-6.41,-9.6,2.65,0,5,52,33
6165 捷泰,2009/12/31,8,342,9,-9,100,52,0.49,,2.27,-3.43,-2.39,2.44,-4,-7,1,12
2915 潤泰全,2009/12/31,6,537,85,33,75,44,8.16,,1.62,6.96,-4.37,1.68,2,12,46,68
3593 力銘,2009/12/31,5,642,34,76,100,45,4.54,,0,11.04,10.73,0,-3,-1,0,44
2491 吉祥全,2009/12/31,D,136,18,-29,49,39,-1.4,,8.28,-8.94,-30.99,3.85,-1,-15,75,12
1449 佳和,2009/12/31,D,-127,49,-41,-47,40,-2.06,,2.81,-6.58,-8.66,3.8,-7,3,253,49
1457 宜進,2009/12/31,7,351,43,4,61,71,4.01,,1.2,2.12,-1.08,2.35,2,0,78,43
2388 威盛,2009/12/31,7,246,64,-60,87,39,-16.92,,1.78,-24.51,-61.71,2.86,13,4,37,51
1218 泰山,2009/12/31,5,510,64,17,84,78,11.33,,0.92,3.28,0.97,2.27,0,-4,79,85
2438 翔耀,2009/12/31,D,-567,9,-60,-164,88,0.11,,10.99,-17.2,-76.09,5.52,148,82,366,8
1472 三洋紡,2009/12/31,9,110,8,-34,45,62,0.51,,2.02,-10.32,-18.39,2.63,8,-1,100,9
2353 宏碁,2009/12/31,2,737,140,39,92,65,381.92,,0.11,4.67,3.27,4.65,0,5,14,5740
3049 和鑫,2009/12/31,7,382,62,-32,100,54,-4.23,,1.36,-12.45,-25.77,2.67,-19,1,23,49
2008 高興昌,2009/12/31,9,-108,63,-28,-79,89,-0.49,,3.19,-4.41,-4.56,3.49,2,15,290,65
2540 愛山林,2009/12/31,D,-176,1,-36,-48,77,-0.07,,14.17,-5.02,-39.12,2.86,66,315,217,1
1903 士紙,2009/12/31,6,343,28,-12,83,75,4.45,,0.47,-3.06,-17.96,1.04,5,-67,16,18
1432 大魯閣,2009/12/31,D,-330,11,-24,-80,-40,4.05,,2.9,-4.96,-5.29,2.12,-2,63,292,12
1516 川飛,2009/12/31,9,192,1,-60,100,71,-1.49,,0.35,-38.45,-31.21,0,8,-62,0,2
1456 怡華,2009/12/31,D,-312,18,-40,-87,33,-0.56,,3.57,-6,-7.25,3.91,16,30,305,19
2348 海悅,2009/12/31,D,-652,2,-29,-204,45,-0.53,,6.46,-3.63,-8.81,3.25,63,0,459,3
6176 瑞儀,2009/12/31,3,767,140,45,98,60,50.39,,0.32,6.13,5.42,2.34,-27,-3,33,367
2616 山隆,2009/12/31,5,524,60,24,91,45,5.15,,0.11,4.13,1.43,2.29,2,1,21,116
2506 太設,2009/12/31,D,364,86,35,-1,91,3.57,,4.11,3.66,5.13,3.87,4,7,173,81
9906 欣巴巴,2009/12/31,D,-782,20,-24,-266,49,-1.3,,2.57,-1.63,-5.16,3.67,5,7,571,24
3321 同泰,2009/12/31,D,-970,11,-60,-280,27,-2.95,,7.35,-26.96,-49.21,5.33,13,-4,1349,11
1786 科妍,2009/12/31,D,-174,1,-60,15,-40,-0.36,,10.52,-24.36,-296.99,2.39,-28,-566,69,0
3673 TPK-KY,2009/12/31,-,873,98,120,74,95,30.98,,0.37,24.15,13.99,3.08,-20,-3,42,187
3004 豐達科,2009/12/31,D,-744,6,1,-272,58,2.1,,4.1,1.67,0.05,2.57,11,-36,1172,7
2511 太子,2009/12/31,7,366,117,32,-15,80,53.21,,4.69,2.44,8.67,2.43,-12,52,188,130
9911 櫻花,2009/12/31,5,547,38,39,94,74,6.31,,0.49,6.32,3.54,2.62,-2,-1,20,37
3682 亞太電,2009/12/31,6,735,122,53,79,94,39.69,,1.49,7.23,8.16,4.98,-10,1,22,187
1414 東和,2009/12/31,8,200,35,-24,40,82,-0.76,,1.25,-5.55,-9.06,2.52,-3,-6,107,36
2408 南亞科,2009/12/31,7,86,140,-60,-20,45,-105.02,,3.4,-15.82,-46.94,1.85,13,9,219,428
8150 南茂,2009/12/31,D,275,108,-49,44,75,8.4,,3.04,-14.48,-26.63,2.38,-15,-1,135,116
2528 皇普,2009/12/31,9,105,4,-2,27,24,2.32,,9.59,-0.25,1.27,3.54,6,-20,48,4
1583 程泰,2009/12/31,6,256,35,2,74,-40,6.45,,1.26,0.96,1.93,1.8,80,216,56,26
2344 華邦電,2009/12/31,6,460,140,-26,63,68,52.55,,2.61,-8.48,-27.2,2.54,-3,-1,70,267
1532 勤美,2009/12/31,7,562,120,41,80,-40,33.2,,1.81,3.23,11.29,2.15,2,91,52,152
4919 新唐,2009/12/31,-,647,47,60,100,72,9.43,,0.08,8.78,6.93,6.01,,,0,71
4532 瑞智,2009/12/31,6,358,67,-8,69,41,16.9,,2.12,-1.78,-4.67,4.18,6,11,55,69
2331 精英,2009/12/31,5,682,140,11,95,86,40.91,,0.08,2.4,1.28,1.46,-3,-2,21,734
1805 寶徠,2009/12/31,8,252,4,-24,89,50,-0.65,,1.86,-8.99,-4.54,3.7,-33,-41,40,4
3018 同開,2009/12/31,8,452,3,30,100,57,-0.38,,0.01,3.52,6.26,3.03,46,36,1,4
3037 欣興,2009/12/31,3,761,140,54,90,49,105.44,,0.85,5.14,11.74,1.72,9,4,62,437
2316 楠梓電,2009/12/31,5,510,61,15,99,47,8.56,,0.65,3.44,-2.59,2.09,30,0,29,61
2606 裕民,2009/12/31,4,899,116,100,97,45,76.83,,2.15,12.87,43.31,1.98,12,0,53,125
1477 聚陽,2009/12/31,3,775,73,94,92,72,9.82,,0.21,16.09,10.28,4.48,1,1,14,133
2429 銘旺科,2009/12/31,D,-820,5,-37,-264,74,0.2,,2.24,-1.18,5.19,3.98,-11,2,560,8
5469 瀚宇博,2009/12/31,4,693,123,55,87,22,29.13,,0.88,7.09,6.44,2.05,11,1,65,194
2486 一詮,2009/12/31,5,572,44,62,100,-2,7.94,,0.71,7.85,11.23,5.23,6,7,4,44
3130 一零四,2009/12/31,5,617,12,68,100,90,2.23,,0,10.59,9.12,0,2,0,0,19
1515 力山,2009/12/31,6,437,35,32,71,57,3.57,,1.92,3.15,7.34,3.12,-12,7,72,32
6239 力成,2009/12/31,4,902,140,102,86,58,152.45,,1.2,12.33,23.02,2.31,,,58,300
1447 力鵬,2009/12/31,5,648,103,51,73,69,3.99,+,0.46,7.65,4.5,1.83,17,2,68,182
1307 三芳,2009/12/31,4,739,65,81,100,67,16.78,,0.35,11.59,11.46,1.58,1,-5,34,81
1721 三晃,2009/12/31,8,203,10,-6,58,27,1.05,,1.52,-1.92,-1.11,3.15,33,13,97,14
2905 三商,2009/12/31,5,656,140,-7,100,97,179.54,,0,-0.75,0.46,0.04,-4,-8,61,628
9946 三發地產,2009/12/31,8,174,5,8,60,-40,-2.15,,1.53,2.12,1.86,1.76,-21,-125,92,5
2206 三陽工業,2009/12/31,6,599,140,1,78,82,23.59,,1.54,1.15,0.83,4.13,9,-13,68,303
6128 上福,2009/12/31,5,705,12,108,100,56,4.51,,0.2,16.75,26.01,8.23,-5,12,2,16
2049 上銀,2009/12/31,6,412,56,36,66,-6,10.34,,1.86,3.34,7.69,1.72,17,36,90,44
1316 上曜,2009/12/31,7,348,5,-7,100,61,0.81,,0,-0.62,-10.54,0,7,9,0,7
1503 士電,2009/12/31,4,832,123,93,87,48,41.57,,0.24,11.51,16.93,1.18,-12,-24,20,203
3008 大立光,2009/12/31,3,827,80,108,100,43,29.45,,0,17.28,33.27,0,7,-16,0,82
2371 大同,2009/12/31,6,319,140,-52,45,60,-14.67,,2.93,-13.26,-28.04,3.12,0,14,116,1187
2027 大成鋼,2009/12/31,7,417,127,29,39,-40,11.1,,2.42,2.94,7.88,3.57,8,154,120,210
1210 大成,2009/12/31,4,741,140,40,83,91,28.73,,0.18,6.83,2.89,2.59,0,0,33,679
1321 大洋,2009/12/31,6,433,43,3,88,76,5,,0.13,1.09,2,1.33,2,-3,17,55
1232 大統益,2009/12/31,4,755,69,80,96,91,8.65,,0.05,16.53,4.66,1.85,0,12,13,157
3167 大量,2009/12/31,5,409,8,47,97,-40,3.55,,0.83,4.43,9.96,1.97,18,132,41,10
1521 大億,2009/12/31,4,586,23,67,94,58,5.55,,0.18,10.02,6.35,2.05,-3,5,15,31
3702 大聯大,2009/12/31,4,743,140,50,80,73,31.37,+,0.18,7.21,2.21,2.38,-7,-10,83,1968
2059 川湖,2009/12/31,4,697,29,103,100,29,8.01,,1.25,13.9,34.88,2.61,10,21,43,22
5521 工信,2009/12/31,5,453,68,5,80,63,12.54,,0.82,1.59,1.74,5.78,14,1,37,92
1762 中化生,2009/12/31,7,519,11,108,68,-32,4.62,,1.7,12.95,26.12,2.33,-16,12,55,11
1535 中宇,2009/12/31,4,680,42,73,100,78,7.95,,0.01,11.28,6.89,11.85,7,27,0,59
1718 中纖,2009/12/31,7,552,133,-5,72,86,-17.53,+,1.19,-0.49,-2.3,1.35,4,7,63,205
1701 中化,2009/12/31,6,489,47,47,87,-7,4.48,,0.55,6.43,6.64,2.06,-20,-14,26,44
1314 中石化,2009/12/31,5,726,140,33,86,90,25.73,,1.28,5.03,3.06,2.21,-1,-1,60,270
2104 國際中橡,2009/12/31,4,594,123,13,88,43,23.01,,1.91,0.95,6.16,2.97,15,33,57,175
1560 中砂,2009/12/31,5,354,29,-4,86,50,5.3,,0.4,-0.96,-4.1,1.03,6,6,24,26
2612 中航,2009/12/31,5,768,67,102,88,48,45.65,,3.32,12.35,44.67,2.1,4,0,73,48
2613 中櫃,2009/12/31,7,345,29,-6,87,31,-0.63,,0.88,-1.66,-3.41,1.41,3,0,66,19
2002 中鋼,2009/12/31,2,662,140,37,67,68,525.01,,0.89,4.07,7.24,1.43,5,29,63,2511
2013 中鋼構,2009/12/31,6,526,80,18,84,60,39.15,,0.18,2.41,1.26,1.45,16,19,25,130
2515 中工,2009/12/31,6,468,119,2,88,-40,20.96,,0.5,1.05,0.81,1.1,-2,-11,36,141
2204 中華,2009/12/31,4,666,140,1,100,83,49.79,,0.37,0.97,0.18,2.02,-17,-21,16,375
2475 華映,2009/12/31,9,350,140,-60,58,75,19.38,,3.61,-19.22,-55.05,3.52,10,5,79,579
1905 華紙,2009/12/31,4,479,73,-11,100,65,10.7,,0.72,-3.11,-7.81,2.49,4,2,23,71
2610 華航,2009/12/31,7,42,140,-12,-79,40,22.33,,3.42,-1.58,-1.01,2.59,8,0,304,1050
2412 中華電,2009/12/31,1,924,140,83,100,95,770.64,,0.01,9.79,28.46,1.72,1,4,0,1984
2450 神腦,2009/12/31,4,810,85,82,100,93,13.83,,0.01,15.32,6.55,0,,,0,185
9933 中鼎,2009/12/31,3,754,140,40,93,76,82.53,,0.42,4.07,4.31,2.21,10,-16,66,471
5388 中磊,2009/12/31,5,533,54,31,86,73,8.31,,0.27,3.71,4.22,2.45,4,9,51,71
1513 中興電,2009/12/31,5,530,84,32,97,-24,10.4,,0.19,3.8,5.18,0.92,11,-3,23,101
1723 中碳,2009/12/31,3,846,49,120,100,89,11.54,,0.02,22.4,25.39,2.99,13,10,0,54
2323 中環,2009/12/31,6,501,140,-11,67,52,63.93,,2.81,-2.72,-7.45,3.22,-13,0,48,253
2390 云辰,2009/12/31,7,326,17,-7,100,15,-1.77,,0.87,-0.92,-8.35,4.13,22,46,13,11
3494 誠研,2009/12/31,6,549,13,61,100,41,3.45,,0.45,8.58,9.87,2.73,3,-7,21,18
1733 五鼎,2009/12/31,4,681,11,119,100,4,3.91,,0,21.07,31.43,0,6,-25,0,14
2324 仁寶,2009/12/31,2,766,140,54,89,56,-30.8,+,0.02,7.24,3.46,0.5,7,4,30,6753
6209 今國光,2009/12/31,5,395,38,-4,90,62,5.52,,0.62,-1.95,-2.47,2.36,8,-14,26,38
2034 允強,2009/12/31,5,509,84,8,95,34,-14.72,+,0.17,2.58,-2,1.31,20,40,45,136
