company,date,c_0,c_1,c_2,c_3,c_4
1447 力鵬,2017,5.001749038696289,1.000268578529358,3.9974031448364262,7.341739438615492e-10,0.0005792913143523037
1449 佳和,2008,0.0,0.0,0.0,0.0,0.0
1449 佳和,2009,0.0,0.0,0.0,0.0,0.0
1449 佳和,2010,0.0,0.0,0.0,0.0,0.0
1449 佳和,2011,0.0,0.0,0.0,0.0,0.0
1449 佳和,2012,0.0,0.0,0.0,0.0,0.0
1449 佳和,2013,3.0006022453308105,1.392716779576031e-13,1.793692717910744e-06,2.54977012980218e-15,0.9993959665298462
1449 佳和,2014,0.0,0.0,0.0,0.0,0.0
1449 佳和,2015,0.0,0.0,0.0,0.0,0.0
1449 佳和,2016,0.0,0.0,0.0,0.0,0.0
1449 佳和,2017,0.0,0.0,0.0,0.0,0.0
1451 年興,2008,12.127906799316404,1.0509101855404881e-07,1.8720619678497317,5.973731925790204e-11,3.1702038540970534e-05
1451 年興,2009,11.0,0.6113184094429016,0.3886754512786865,5.515939392353175e-06,9.920891690627652e-14
1451 年興,2010,0.0,0.0,0.0,0.0,0.0
1451 年興,2011,0.0,0.0,0.0,0.0,0.0
1451 年興,2012,0.0,0.0,0.0,0.0,0.0
1451 年興,2013,0.0,0.0,0.0,0.0,0.0
1451 年興,2014,0.0,0.0,0.0,0.0,0.0
1451 年興,2015,0.0,0.0,0.0,0.0,0.0
1451 年興,2016,0.0,0.0,0.0,0.0,0.0
1451 年興,2017,0.0,0.0,0.0,0.0,0.0
1452 宏益,2008,8.0,1.9230800559405696e-20,3.867134910906511e-12,1.423578997426497e-19,1.3659340988567778e-18
1452 宏益,2009,0.0,0.0,0.0,0.0,0.0
1452 宏益,2010,0.0,0.0,0.0,0.0,0.0
1452 宏益,2011,0.0,0.0,0.0,0.0,0.0
1452 宏益,2012,0.0,0.0,0.0,0.0,0.0
1452 宏益,2013,0.0,0.0,0.0,0.0,0.0
1452 宏益,2014,0.0,0.0,0.0,0.0,0.0
1452 宏益,2015,0.0,0.0,0.0,0.0,0.0
1452 宏益,2016,0.0,0.0,0.0,0.0,0.0
